DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,15256,7690,501,23447
ALWAR,51441,20423,303,72167
BANSWARA,33782,5374,361,39517
BARAN,45790,20736,629,67155
BARMER,10478,2443,121,13042
BHARATPUR,49847,17296,552,71313
BHILWARA,33801,10020,1027,44848
BIKANER,24221,9372,73,33666
BUNDI,41230,14886,695,56811
CHITTORGARH,47580,15189,989,63758
CHURU,6516,1856,0,8372
DAUSA,27307,10993,277,38577
DHOLPUR,20005,5340,460,25805
DUNGARPUR,10129,2301,427,12857
GANGANAGAR,76483,26756,1208,104447
HANUMANGARH,58894,18753,1374,79021
JAIPUR,37524,13028,1352,51904
JAISALMER,10648,3476,99,14223
JALORE,23782,4831,601,29214
JHALAWAR,32310,18051,398,50759
JHUNJHUNU,13321,3090,173,16584
JODHPUR,29123,12638,1075,42836
KARAULI,20151,7796,54,28001
KOTA,48757,25458,875,75090
NAGAUR,27684,12887,967,41538
PALI,14561,8171,417,23149
PRATAPGARH,22380,9207,665,32252
RAJSAMAND,7539,1990,122,9651
S.MADHOPUR,28798,11492,61,40351
SIKAR,16755,5221,328,22304
SIROHI,13435,4254,457,18146
TONK,33429,12456,380,46265
UDAIPUR,29189,7790,1199,38178
