DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,7978,4262,52,12292
ALWAR,30987,14411,272,45670
BANSWARA,15625,1908,93,17626
BARAN,20182,11292,14,31488
BARMER,6325,1653,88,8066
BHARATPUR,27217,13473,301,40991
BHILWARA,19009,8600,628,28237
BIKANER,13881,9239,61,23181
BUNDI,20689,9468,164,30321
CHITTORGARH,23801,12586,2061,38448
CHURU,5427,1745,5,7177
DAUSA,12407,5064,161,17632
DHOLPUR,15216,4885,190,20291
DUNGARPUR,2647,183,104,2934
GANGANAGAR,42698,24986,3069,70753
HANUMANGARH,33332,17046,651,51029
JAIPUR,23462,20839,910,45211
JAISALMER,4193,1949,102,6244
JALORE,9884,3338,286,13508
JHALAWAR,13602,8548,350,22500
JHUNJHUNU,6175,2052,47,8274
JODHPUR,21111,15607,275,36993
KARAULI,12395,11765,1300,25460
KOTA,23105,21181,404,44690
NAGAUR,15457,9642,123,25222
PALI,5099,4933,187,10219
PRATAPGARH,9189,3554,818,13561
RAJSAMAND,3078,634,96,3808
S.MADHOPUR,13774,6583,1626,21983
SIKAR,10149,3658,204,14011
SIROHI,4628,2080,268,6976
TONK,16548,9570,214,26332
UDAIPUR,9911,5014,796,15721
